Position,Company,Location,URL
연구소 AMI 통신 전력량계 설비미터 개발인력 (H/W  S/W) 채용,㈜디엠파워,경기 안양시,https://www.jobkorea.co.kr/Recruit/GI_Read/40627523?Oem_Code=C1&logpath=1&stext=전력&listno=42
[신입/경력] 전자회로 및 전력시스템 개발자 모집,㈜소노텍,경기 군포시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40610791?Oem_Code=C1&logpath=1&stext=전력&listno=43
기술연구소(전력전자 SMPS  노이즈필터  전기자동차용 컨버터(OBC  LDC) 개발) 신입/경력 모집,㈜오리엔트전자,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/40598346?Oem_Code=C1&logpath=1&stext=전력&listno=44
초고압 전력계통 보호/제어 시험 엔지니어 채용 공고,가보주식회사,경기 안산시,https://www.jobkorea.co.kr/Recruit/GI_Read/40584625?Oem_Code=C1&logpath=1&stext=전력&listno=45
(주)삼아솔루션 - 전력제어 / HMI 부문 신입 가족을 초대합니다.,㈜삼아솔루션,서울 영등포구,https://www.jobkorea.co.kr/Recruit/GI_Read/40561245?Oem_Code=C1&logpath=1&stext=전력&listno=46
[Quest Global] 전력변환제어기 임베디드소프트웨어 개발 (신입/경력),퀘스트글로벌코리아 유한회사,서울 강남구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40551730?Oem_Code=C1&logpath=1&stext=전력&listno=47
전력 전자 및 PCB수리  회로 모집합니다.(PCB수리),오엠 시스템,경기 화성시,https://www.jobkorea.co.kr/Recruit/GI_Read/40550620?Oem_Code=C1&logpath=1&stext=전력&listno=48
전기 / 전력 시스템 엔지니어 모집,㈜아이에스솔루션,경기 하남시,https://www.jobkorea.co.kr/Recruit/GI_Read/40543925?Oem_Code=C1&logpath=1&stext=전력&listno=49
전력자동화분야 기술 및 영업지원팀 신입사원 채용 공고,도우디지텍㈜,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/40497124?Oem_Code=C1&logpath=1&stext=전력&listno=50
토목설계(전력구설계  터널설계) 신입 채용 공고,한수엔지니어링,서울 강서구,https://www.jobkorea.co.kr/Recruit/GI_Read/40463960?Oem_Code=C1&logpath=1&stext=전력&listno=51
의료기기 (주)리스템 중앙연구소 전력전자 연구원 채용,㈜리스템,강원 원주시,https://www.jobkorea.co.kr/Recruit/GI_Read/40428546?Oem_Code=C1&logpath=1&stext=전력&listno=52
전력설비진단 엔지니어 (신입) - 정규직 모집,원리솔루션㈜,경기 하남시,https://www.jobkorea.co.kr/Recruit/GI_Read/40413511?Oem_Code=C1&logpath=1&stext=전력&listno=53
